Tomorrow Never Dies;Hanne Boel;Rom-com;1973;45;true;2
Die Hard;Michael Bay;Action;1992;89;true;3
Die Hard;Michael Bay;Action;1992;89;true;4
Tomorrow Never Dies;Hanne Boel;Rom-com;1973;45;true;5
Die Hard;Michael Bay;Action;1992;89;true;6
Die Hard;Michael Bay;Action;1992;89;true;7
Tomorrow Never Dies;Hanne Boel;Rom-com;1973;45;true;8
Batman Forever;Michael Bay;Action;1991;2;true;9
Die Hard;Michael Bay;Action;1992;89;true;10
Tomorrow Never Dies;Hanne Boel;Rom-com;1973;45;true;11
Batman Forever;Michael Bay;Action;1991;2;true;12
Die Hard;Michael Bay;Action;1992;89;true;13
Tomorrow Never Dies;Hanne Boel;Rom-com;1973;45;true;14
Batman Forever;Michael Bay;Action;1991;2;true;15
Die Hard;Michael Bay;Action;1992;89;true;16
Tomorrow Never Dies;Hanne Boel;Rom-com;1973;45;true;17
Batman Forever;Michael Bay;Action;1991;2;true;18
Die Hard;Michael Bay;Action;1992;89;true;19
Tomorrow Never Dies;Hanne Boel;Rom-com;1973;45;true;20
Batman Forever;Michael Bay;Action;1991;2;true;21
Die Hard;Michael Bay;Action;1992;89;true;22
Tomorrow Never Dies;Hanne Boel;Rom-com;1973;45;true;23
Batman Forever;Michael Bay;Action;1991;2;true;24
Die Hard;Michael Bay;Action;1992;89;true;25
Tomorrow Never Dies;Hanne Boel;Rom-com;1973;45;true;26
Batman Forever;Michael Bay;Action;1991;2;true;27
hej;me;d;190;120;true;28
